Текст отзыва,Тональность,Плюсы,Минусы
"УК «Новая территория» работает неплохо, но есть куда расти.",нейтральный,"быстрый вывоз мусора, чистый подъезд",медленно реагируют на заявки по ремонту
Доволен работой управляющей компании. Всё чисто и аккуратно.,положительный,"уборка территории, вежливый персонал",нет
"Плохо реагируют на жалобы, приходится ждать неделями.",отрицательный,иногда приезжают чинить,"долгие сроки ремонта, грубость сотрудников"
"Работают нормально, но цены за услуги завышены.",нейтральный,"освещение во дворе, консьерж",дорогие тарифы
"Хорошая компания, всё делают быстро и качественно.",положительный,"оперативность, чистота, вежливость",не заметил
Ужасное обслуживание. Лифт ломается каждый месяц.,отрицательный,—,"постоянные поломки, игнорирование жалоб"
"В целом нормально, но могли бы лучше следить за двором.",нейтральный,ремонт подъезда,грязные детские площадки
"Работают без энтузиазма, но базовые услуги оказывают.",нейтральный,"вывоз мусора, уборка подъездов",нет инициативы в улучшении
"Вежливые сотрудники, всегда помогают.",положительный,"отзывчивость, чистота",—
"Долго чинили протечку, пришлось звонить несколько раз.",отрицательный,в итоге починили,медленная реакция
"Цены высокие, а сервис средний.",нейтральный,иногда делают ремонт,дорого за такие услуги
"Хорошая компания, всё устраивает.",положительный,"порядок во дворе, работающий лифт",—
"Постоянные поломки, УК только деньги собирает.",отрицательный,—,"бездействие, частые поломки"
"Неплохо, но могли бы чаще убирать двор.",нейтральный,чистые подъезды,грязные дорожки зимой
Хорошая работа. Всегда на связи и помогают.,положительный,"оперативность, вежливость",—
"Лифт не работает уже месяц, УК бездействует.",отрицательный,—,игнорирование проблем
"Всё устраивает, но цены высокие.",нейтральный,"чистота, порядок",дорогие тарифы
Спасибо за хорошую работу.,положительный,"всё чисто, быстро реагируют",—
"Плохая связь с диспетчерской, вечно занято.",отрицательный,—,невозможно дозвониться
"Нормально, но с натяжкой.",нейтральный,базовые услуги,нет развития
"Доволен работой. Лучшая УК из тех, что были.",положительный,"порядок, вежливый персонал",—
"Двор в плохом состоянии, УК ничего не делает.",отрицательный,—,бездействие
"В целом неплохо, но ремонт подъезда нужен.",нейтральный,уборка,"старые стены, трещины"
Быстро реагируют на аварийные ситуации.,положительный,оперативность,—
Дорого и сервис плохой.,отрицательный,иногда убирают,"высокие тарифы, плохое обслуживание"
"Хорошая компания, всё чисто и аккуратно.",положительный,"чистота, порядок",—
"Лифт постоянно ломается, УК не реагирует.",отрицательный,—,частые поломки
"Устраивает, но хотелось бы больше инициативы.",нейтральный,базовый сервис,нет улучшений
Спасибо за оперативную работу.,положительный,быстрое решение проблем,—
"Двор как свалка, УК ничего не делает.",отрицательный,—,"грязь, мусор"
"Нормально, но могло бы быть лучше.",нейтральный,уборка подъездов,медленный ремонт
"Хорошая работа, всем доволен.",положительный,"чистота, порядок, вежливость",—
"Постоянные проблемы, УК только деньги берет.",отрицательный,—,бездействие
"В целом неплохо, но редко убирают двор.",нейтральный,чистые подъезды,грязные дорожки
"Быстро починили трубу, спасибо.",положительный,оперативность,—
"Цены высокие, а сервис никакой.",отрицательный,—,"дорого, плохое обслуживание"
"Хорошая компания, всё на уровне.",положительный,"чистота, порядок",—
"Лифт сломан, УК ничего не делает.",отрицательный,—,игнорирование проблем
"Нормально, но хотелось бы лучше.",нейтральный,базовые услуги,нет развития
Спасибо за чистые подъезды.,положительный,уборка,—
"Двор в ужасном состоянии, УК бездействует.",отрицательный,—,"грязь, мусор"
"В целом устраивает, но ремонт нужен.",нейтральный,уборка,старые коммуникации
"Быстро реагируют на заявки, молодцы.",положительный,оперативность,—
Дорого и сервис плохой.,отрицательный,—,"высокие тарифы, плохая работа"
"Хорошая УК, всё чисто и аккуратно.",положительный,"порядок, вежливость",—
"Лифт не работает, УК игнорирует.",отрицательный,—,бездействие
"Нормально, но могло бы быть лучше.",нейтральный,базовые услуги,нет улучшений
Спасибо за хорошую работу.,положительный,"чистота, порядок",—
"Двор как помойка, УК ничего не делает.",отрицательный,—,"грязь, мусор"
"В целом неплохо, но ремонт давно нужен.",нейтральный,уборка,старые коммуникации
Управляющая компания справляется со своими обязанностями.,нейтральный,регулярный вывоз мусора,медленно реагируют на мелкие неисправности
Очень нравится работа УК. Всегда чисто и уютно.,положительный,красивое озеленение двора,—
Постоянные проблемы с горячей водой.,отрицательный,—,частые отключения без предупреждения
Качественно выполняют текущий ремонт.,положительный,быстро красят стены в подъезде,—
"Работают средне, ничего выдающегося.",нейтральный,есть охрана территории,плохо убирают снег зимой
Прекрасная управляющая компания!,положительный,"вежливые сотрудники, чистота",—
Лифты постоянно выходят из строя.,отрицательный,—,ремонт занимает слишком много времени
В целом нормально обслуживают дом.,нейтральный,есть видеонаблюдение,высокие тарифы
Отличная работа диспетчерской службы.,положительный,быстро принимают заявки,—
"Подъезды грязные, убирают редко.",отрицательный,—,антисанитария в местах общего пользования
Стабильно выполняют обязательства.,нейтральный,нет перебоев с коммунальными услугами,могли бы чаще делать косметический ремонт
Лучшая УК в нашем городе!,положительный,идеальный порядок во дворе,—
Не решают проблему с парковкой.,отрицательный,—,хаотичная парковка мешает жильцам
Средний уровень обслуживания.,нейтральный,работают по графику,нет индивидуального подхода
Быстро устраняют аварийные ситуации.,положительный,профессиональные сантехники,—
Долго не могут починить крышу.,отрицательный,—,течет во время дождя
Нормальная работа за эти деньги.,нейтральный,приемлемые тарифы,экономят на материалах
Прекрасное отношение к жильцам.,положительный,учитывают пожелания,—
Не убирают детскую площадку.,отрицательный,—,опасность для детей
Стабильная работа без сюрпризов.,нейтральный,предсказуемые платежи,нет развития
Отличный ремонт подъездов.,положительный,современные материалы,—
Не реагируют на жалобы о шумных соседях.,отрицательный,—,бездействие администрации
Удовлетворительное обслуживание.,нейтральный,выполняют минимум,нет инициативы
Замечательные праздники для жильцов.,положительный,организация мероприятий,—
Не чистят дорожки от гололеда.,отрицательный,—,травмоопасно зимой
Неплохо для бюджетного жилья.,нейтральный,низкие тарифы,соответствующее качество
Быстро меняют лампочки в подъездах.,положительный,хорошее освещение,—
Не следят за состоянием лифтов.,отрицательный,—,старые кабины
Средний уровень по району.,нейтральный,не хуже других,и не лучше
Отличная система оповещения.,положительный,SMS-уведомления,—
Не решают вопрос с бродячими собаками.,отрицательный,—,опасность во дворе
Приемлемое качество услуг.,нейтральный,понятные квитанции,задержки с отчетностью
Прекрасные клумбы у дома.,положительный,ухоженные газоны,—
Вечно грязные лестничные клетки.,отрицательный,—,неприятный запах
Нормальная работа коммунальщиков.,нейтральный,нет перебоев с водой,старые трубы
Очень вежливые консультанты.,положительный,помощь в вопросах,—
Не убирают строительный мусор.,отрицательный,—,опасные отходы во дворе
"Стабильно, но без изысков.",нейтральный,надежность,отсутствие новшеств
Отличная работа в праздники.,положительный,дежурство в нерабочие дни,—
Не могут решить проблему с крысами.,отрицательный,—,антисанитария
Удовлетворительное содержание дома.,нейтральный,базовый ремонт,требует обновления
Замечательные соседи благодаря отбору УК.,положительный,хороший контингент,—
Не чистят вентиляционные шахты.,отрицательный,—,пыль в квартирах
Нормальный сервис для такого дома.,нейтральный,соответствует стандартам,без бонусов
Быстро реагируют на засоры.,положительный,профессиональные сантехники,—
Не следят за чистотой мусорных площадок.,отрицательный,—,антисанитария
Среднее качество по приемлемой цене.,нейтральный,баланс цены и качества,нет премиум-услуг
Отличная охрана территории.,положительный,безопасность,—
Не ремонтируют детскую площадку.,отрицательный,—,сломанные качели
Приемлемые условия проживания.,нейтральный,основные услуги,требует модернизации
Очень нравится новый дизайн подъездов.,положительный,современный ремонт,—
Не убирают опавшие листья.,отрицательный,—,грязь во дворе
Стандартный набор услуг.,нейтральный,предсказуемость,без сюрпризов
Отличная система видеонаблюдения.,положительный,безопасность,—
Не следят за состоянием кровли.,отрицательный,—,протечки после дождя
Нормально для такого типа жилья.,нейтральный,соответствует ожиданиям,без излишеств
Прекрасная работа с документами.,положительный,четкое документооборот,—
Не реагируют на шумные вечеринки.,отрицательный,—,нарушение покоя
"УК ""Новая территория"" справляется со своими обязанностями.",нейтральный,регулярная уборка подъездов,медленно реагируют на заявки
"Хорошая управляющая компания, всем доволен.",положительный,"чисто во дворе, вежливый персонал",—
Постоянные перебои с отоплением зимой.,отрицательный,—,холод в квартирах
Качественно делают косметический ремонт.,положительный,свежий ремонт в подъездах,—
"Работают без нареканий, но и без энтузиазма.",нейтральный,стабильность,нет развития
Отличная организация праздников для жильцов.,положительный,детские мероприятия,—
Лифт постоянно выходит из строя.,отрицательный,—,ремонт занимает недели
В целом устраивает качество услуг.,нейтральный,приемлемые цены,могли бы лучше
Быстро устраняют аварийные ситуации.,положительный,оперативные сантехники,—
Дворовая территория в ужасном состоянии.,отрицательный,—,"мусор, разбитые дорожки"
Стабильно выполняют свои обязательства.,нейтральный,без перебоев в услугах,минимальный сервис
"Лучшая УК из всех, с которыми сталкивался.",положительный,порядок во всем,—
Не решают проблему с парковкой.,отрицательный,—,хаос во дворе
Средний уровень по району.,нейтральный,не хуже других,и не лучше
Отличная система оповещения жильцов.,положительный,SMS-уведомления,—
Не следят за чистотой мусорных площадок.,отрицательный,—,антисанитария
Приемлемое качество за эти деньги.,нейтральный,адекватные тарифы,экономят на материалах
Прекрасное озеленение территории.,положительный,ухоженные клумбы,—
"Подъезды грязные, убирают редко.",отрицательный,—,пыль и паутина
Стабильная работа без сюрпризов.,нейтральный,предсказуемость,нет улучшений
Быстро реагируют на засоры.,положительный,профессиональные сантехники,—
Не чистят дорожки от снега.,отрицательный,—,гололед зимой
Нормально для бюджетного жилья.,нейтральный,низкие тарифы,соответствующее качество
Отличная охрана территории.,положительный,безопасность,—
Не решают вопрос с бродячими собаками.,отрицательный,—,опасность для детей
Удовлетворительное обслуживание.,нейтральный,выполняют минимум,нет инициативы
Замечательные клумбы у дома.,положительный,красивые цветы,—
Не убирают строительный мусор.,отрицательный,—,опасные отходы
Стандартный набор услуг.,нейтральный,понятные условия,без бонусов
Быстро меняют перегоревшие лампочки.,положительный,хорошее освещение,—
Не следят за состоянием кровли.,отрицательный,—,течет крыша
Нормальное качество услуг.,нейтральный,соответствует ожиданиям,без излишеств
Отличная работа диспетчерской.,положительный,вежливые операторы,—
Не реагируют на шумных соседей.,отрицательный,—,нарушение покоя
Приемлемые условия проживания.,нейтральный,основные услуги,требует модернизации
Прекрасный новый дизайн подъездов.,положительный,современный ремонт,—
Не убирают опавшие листья.,отрицательный,—,грязь во дворе
Работают стабильно.,нейтральный,без перебоев,нет развития
Отличная система видеонаблюдения.,положительный,безопасность,—
Не чистят вентиляционные шахты.,отрицательный,—,пыль в квартирах
Нормально для такого типа жилья.,нейтральный,соответствует стандартам,без премиум-услуг
Быстро реагируют на аварии.,положительный,оперативные мастера,—
Не ремонтируют детскую площадку.,отрицательный,—,сломанные качели
Удовлетворительное содержание дома.,нейтральный,базовый ремонт,требует обновления
Замечательная работа с документами.,положительный,четкий документооборот,—
Не следят за чистотой лифтов.,отрицательный,—,грязные кабины
Среднее качество по приемлемой цене.,нейтральный,баланс цены и качества,нет премиум-услуг
Отличная организация субботников.,положительный,вовлечение жильцов,—
Не решают проблему с крысами.,отрицательный,—,антисанитария
Работают без нареканий.,нейтральный,стабильность,без инициативы
Прекрасные условия для детей.,положительный,детские площадки,—
Не убирают снег с крыш.,отрицательный,—,опасные сосульки
Приемлемый сервис.,нейтральный,основные услуги,без изысков
Отличная работа в праздники.,положительный,дежурство в выходные,—
Не следят за состоянием фасада.,отрицательный,—,облупившаяся краска
Нормальное обслуживание.,нейтральный,без сюрпризов,требует улучшений
Быстро реагируют на протечки.,положительный,профессиональные мастера,—
Не убирают мусор после ремонта.,отрицательный,—,строительные отходы
Стандартный уровень услуг.,нейтральный,предсказуемость,без новшеств
Отличная работа консьержа.,положительный,безопасность,—
Не решают вопрос с шумными стройками.,отрицательный,—,нарушение тишины
"УК ""Новая территория"" работает стабильно.",нейтральный,регулярный вывоз мусора,медленно реагируют на мелкие неполадки
Отличная управляющая компания!,положительный,"чистота, порядок, вежливый персонал",—
Постоянные проблемы с горячей водой.,отрицательный,—,частые отключения без предупреждения
Качественно выполняют текущий ремонт.,положительный,оперативно красят стены в подъездах,—
Работают на удовлетворительном уровне.,нейтральный,есть охрана территории,плохо убирают снег зимой
Прекрасная организация работы!,положительный,"вежливые сотрудники, чистота",—
Лифты постоянно выходят из строя.,отрицательный,—,ремонт занимает слишком много времени
В целом нормально обслуживают дом.,нейтральный,установлено видеонаблюдение,высокие тарифы
Отличная работа диспетчерской службы.,положительный,быстро принимают заявки,—
"Подъезды грязные, убирают редко.",отрицательный,—,антисанитария в местах общего пользования
Стабильно выполняют обязательства.,нейтральный,нет перебоев с коммунальными услугами,могли бы чаще делать косметический ремонт
Лучшая УК в нашем микрорайоне!,положительный,идеальный порядок во дворе,—
Не решают проблему с парковкой.,отрицательный,—,хаотичная парковка мешает жильцам
Средний уровень обслуживания.,нейтральный,работают по графику,нет индивидуального подхода
Быстро устраняют аварийные ситуации.,положительный,профессиональные сантехники,—
Долго не могут починить крышу.,отрицательный,—,течет во время дождя
Нормальная работа за эти деньги.,нейтральный,приемлемые тарифы,экономят на материалах
Прекрасное отношение к жильцам.,положительный,учитывают пожелания,—
Не убирают детскую площадку.,отрицательный,—,опасность для детей
Стабильная работа без сюрпризов.,нейтральный,предсказуемые платежи,нет развития
Отличный ремонт подъездов.,положительный,современные материалы,—
Не реагируют на жалобы о шумных соседях.,отрицательный,—,бездействие администрации
Удовлетворительное обслуживание.,нейтральный,выполняют минимум,нет инициативы
Замечательные праздники для жильцов.,положительный,организация мероприятий,—
Не чистят дорожки от гололеда.,отрицательный,—,травмоопасно зимой
Неплохо для бюджетного жилья.,нейтральный,низкие тарифы,соответствующее качество
Быстро меняют лампочки в подъездах.,положительный,хорошее освещение,—
Не следят за состоянием лифтов.,отрицательный,—,старые кабины
Средний уровень по району.,нейтральный,не хуже других,и не лучше
Отличная система оповещения.,положительный,SMS-уведомления,—
Не решают вопрос с бродячими собаками.,отрицательный,—,опасность во дворе
Приемлемое качество услуг.,нейтральный,понятные квитанции,задержки с отчетностью
Прекрасные клумбы у дома.,положительный,ухоженные газоны,—
Вечно грязные лестничные клетки.,отрицательный,—,неприятный запах
Нормальная работа коммунальщиков.,нейтральный,нет перебоев с водой,старые трубы
Очень вежливые консультанты.,положительный,помощь в вопросах,—
Не убирают строительный мусор.,отрицательный,—,опасные отходы во дворе
"Стабильно, но без изысков.",нейтральный,надежность,отсутствие новшеств
Отличная работа в праздники.,положительный,дежурство в нерабочие дни,—
Не могут решить проблему с крысами.,отрицательный,—,антисанитария
Удовлетворительное содержание дома.,нейтральный,базовый ремонт,требует обновления
Замечательные соседи благодаря отбору УК.,положительный,хороший контингент,—
Не чистят вентиляционные шахты.,отрицательный,—,пыль в квартирах
Нормальный сервис для такого дома.,нейтральный,соответствует стандартам,без бонусов
Быстро реагируют на засоры.,положительный,профессиональные сантехники,—
Не следят за чистотой мусорных площадок.,отрицательный,—,антисанитария
Среднее качество по приемлемой цене.,нейтральный,баланс цены и качества,нет премиум-услуг
Отличная охрана территории.,положительный,безопасность,—
Не ремонтируют детскую площадку.,отрицательный,—,сломанные качели
Приемлемые условия проживания.,нейтральный,основные услуги,требует модернизации
Очень нравится новый дизайн подъездов.,положительный,современный ремонт,—
Не убирают опавшие листья.,отрицательный,—,грязь во дворе
Стандартный набор услуг.,нейтральный,предсказуемость,без сюрпризов
Отличная система видеонаблюдения.,положительный,безопасность,—
Не следят за состоянием кровли.,отрицательный,—,протечки после дождя
Нормально для такого типа жилья.,нейтральный,соответствует ожиданиям,без излишеств
Прекрасная работа с документами.,положительный,четкое документооборот,—
Не реагируют на шумные вечеринки.,отрицательный,—,нарушение покоя
"УК работает стабильно, без нареканий.",нейтральный,своевременный вывоз мусора,медленно реагируют на мелкие неисправности
Отличное обслуживание дома!,положительный,"чистота, порядок, вежливый персонал",—
Постоянные перебои с горячей водой.,отрицательный,—,частые отключения без предупреждения
Качественно выполняют текущий ремонт.,положительный,оперативно красят стены в подъездах,—
Работают на удовлетворительном уровне.,нейтральный,есть охрана территории,плохо убирают снег зимой
Прекрасная организация работы!,положительный,"вежливые сотрудники, чистота",—
Лифты постоянно ломаются.,отрицательный,—,ремонт занимает слишком много времени
В целом нормально обслуживают дом.,нейтральный,установлено видеонаблюдение,высокие тарифы
Отличная работа диспетчерской.,положительный,быстро принимают заявки,—
"Подъезды грязные, убирают редко.",отрицательный,—,антисанитария в местах общего пользования
Стабильно выполняют обязательства.,нейтральный,нет перебоев с коммуналкой,могли бы чаще делать ремонт
Лучшая УК в районе!,положительный,идеальный порядок во дворе,—
Не решают проблему с парковкой.,отрицательный,—,хаотичная парковка мешает жильцам
Средний уровень обслуживания.,нейтральный,работают по графику,нет индивидуального подхода
Быстро устраняют аварии.,положительный,профессиональные сантехники,—
Долго не могут починить крышу.,отрицательный,—,течет во время дождя
Нормальная работа за эти деньги.,нейтральный,приемлемые тарифы,экономят на материалах
Прекрасное отношение к жильцам.,положительный,учитывают пожелания,—
Не убирают детскую площадку.,отрицательный,—,опасность для детей
Стабильная работа без сюрпризов.,нейтральный,предсказуемые платежи,нет развития
Отличный ремонт подъездов.,положительный,современные материалы,—
Не реагируют на шумных соседей.,отрицательный,—,бездействие администрации
Удовлетворительное обслуживание.,нейтральный,выполняют минимум,нет инициативы
Замечательные праздники для жильцов.,положительный,организация мероприятий,—
Не чистят дорожки от гололеда.,отрицательный,—,травмоопасно зимой
Неплохо для бюджетного жилья.,нейтральный,низкие тарифы,соответствующее качество
Быстро меняют лампочки.,положительный,хорошее освещение,—
Не следят за лифтами.,отрицательный,—,старые кабины
Средний уровень по району.,нейтральный,не хуже других,и не лучше
Отличная система оповещения.,положительный,SMS-уведомления,—
Не решают вопрос с собаками.,отрицательный,—,опасность во дворе
Приемлемое качество услуг.,нейтральный,понятные квитанции,задержки с отчетностью
Прекрасные клумбы у дома.,положительный,ухоженные газоны,—
Грязные лестничные клетки.,отрицательный,—,неприятный запах
Нормальная работа коммунальщиков.,нейтральный,нет перебоев с водой,старые трубы
Вежливые консультанты.,положительный,помощь в вопросах,—
Не убирают строймусор.,отрицательный,—,опасные отходы
"Стабильно, но без изысков.",нейтральный,надежность,нет новшеств
Хорошая работа в праздники.,положительный,дежурство в выходные,—
Не решают проблему крыс.,отрицательный,—,антисанитария
Удовлетворительное содержание.,нейтральный,базовый ремонт,требует обновления
Хорошие соседи благодаря УК.,положительный,хороший контингент,—
