Текст отзыва,Тональность,Плюсы,Минусы
Не чистят вентиляцию.,отрицательный,—,пыль в квартирах
Нормальный сервис.,нейтральный,соответствует стандартам,без бонусов
Быстро реагируют на засоры.,положительный,профессиональные сантехники,—
Грязные мусорные площадки.,отрицательный,—,антисанитария
Среднее качество за свои деньги.,нейтральный,баланс цены и качества,нет премиум-услуг
Отличная охрана.,положительный,безопасность,—
Не ремонтируют площадку.,отрицательный,—,сломанные качели
Приемлемые условия.,нейтральный,основные услуги,требует модернизации
Нравится новый дизайн подъездов.,положительный,современный ремонт,—
Не убирают листья.,отрицательный,—,грязь во дворе
Стандартный набор услуг.,нейтральный,предсказуемость,без сюрпризов
Хорошее видеонаблюдение.,положительный,безопасность,—
Не следят за кровлей.,отрицательный,—,протечки
Нормально для такого жилья.,нейтральный,соответствует ожиданиям,без излишеств
Хорошая работа с документами.,положительный,четкий документооборот,—
Не реагируют на вечеринки.,отрицательный,—,нарушение покоя
Удовлетворительно.,нейтральный,основные услуги,требует улучшений
Быстро устраняют протечки.,положительный,профессиональные мастера,—
Не убирают после ремонта.,отрицательный,—,строительные отходы
Стандартный уровень.,нейтральный,предсказуемость,без новшеств
Хороший консьерж.,положительный,безопасность,—
Не решают вопрос со стройкой.,отрицательный,—,нарушение тишины
Нормальное обслуживание.,нейтральный,без сюрпризов,требует улучшений
Быстро реагируют на аварии.,положительный,оперативные мастера,—
Не следят за фасадом.,отрицательный,—,облупившаяся краска
Нормально для этого района.,нейтральный,соответствует стандартам,без изысков
Хорошие субботники.,положительный,вовлечение жильцов,—
Не следят за лифтами.,отрицательный,—,грязные кабины
Приемлемо для этих денег.,нейтральный,баланс цены и качества,нет премиум-услуг
Хорошие условия для детей.,положительный,детские площадки,—
Не убирают снег с крыш.,отрицательный,—,опасные сосульки
Стандартный сервис.,нейтральный,основные услуги,без изысков
Хорошая работа в праздники.,положительный,дежурство в выходные,—
Не следят за фасадом.,отрицательный,—,облупившаяся краска
Нормальное обслуживание.,нейтральный,без сюрпризов,требует улучшений
Быстро реагируют на протечки.,положительный,профессиональные мастера,—
Не убирают мусор после ремонта.,отрицательный,—,строительные отходы
Стандартный уровень услуг.,нейтральный,предсказуемость,без новшеств
Хорошая работа консьержа.,положительный,безопасность,—
Не решают вопрос с шумными стройками.,отрицательный,—,нарушение тишины
Приемлемые условия.,нейтральный,основные услуги,требует модернизации
Нравится новый дизайн.,положительный,современный ремонт,—
Не убирают листья.,отрицательный,—,грязь во дворе
Стандартный набор.,нейтральный,предсказуемость,без сюрпризов
Хорошее видеонаблюдение.,положительный,безопасность,—
Не следят за кровлей.,отрицательный,—,протечки
Нормально для такого жилья.,нейтральный,соответствует ожиданиям,без излишеств
Хорошая работа с документами.,положительный,четкий документооборот,—
Не реагируют на шум.,отрицательный,—,нарушение покоя
Удовлетворительно.,нейтральный,основные услуги,требует улучшений
Быстро устраняют аварии.,положительный,оперативные мастера,—
Не убирают после ремонта.,отрицательный,—,строительные отходы
Стандартный уровень.,нейтральный,предсказуемость,без новшеств
Хороший консьерж.,положительный,безопасность,—
Не решают вопрос со стройкой.,отрицательный,—,нарушение тишины
Нормальное обслуживание.,нейтральный,без сюрпризов,требует улучшений
Быстро реагируют на протечки.,положительный,профессиональные мастера,—
Не следят за фасадом.,отрицательный,—,облупившаяся краска
Нормально для района.,нейтральный,соответствует стандартам,без изысков
Хорошие субботники.,положительный,вовлечение жильцов,—
Не следят за лифтами.,отрицательный,—,грязные кабины
Приемлемо за эти деньги.,нейтральный,баланс цены и качества,нет премиум-услуг
Хорошие условия для детей.,положительный,детские площадки,—
Не убирают снег с крыш.,отрицательный,—,опасные сосульки
Стандартный сервис.,нейтральный,основные услуги,без изысков
Хорошая работа в праздники.,положительный,дежурство в выходные,—
Не следят за фасадом.,отрицательный,—,облупившаяся краска
Нормальное обслуживание.,нейтральный,без сюрпризов,требует улучшений
Быстро реагируют на протечки.,положительный,профессиональные мастера,—
Не убирают мусор после ремонта.,отрицательный,—,строительные отходы
Стандартный уровень услуг.,нейтральный,предсказуемость,без новшеств
Хорошая работа консьержа.,положительный,безопасность,—
Не решают вопрос с шумными стройками.,отрицательный,—,нарушение тишины
УК выполняет свои обязанности на удовлетворительном уровне.,нейтральный,регулярная уборка территории,медленно реагируют на заявки
Отличная работа управляющей компании!,положительный,"чистота, порядок, вежливый персонал",—
Постоянные перебои с отоплением зимой.,отрицательный,—,холод в квартирах
Качественно выполняют текущий ремонт.,положительный,оперативно устраняют неисправности,—
"Работают стабильно, без особых нареканий.",нейтральный,есть охрана территории,плохо убирают снег
Прекрасная организация работы!,положительный,вежливые сотрудники,—
Лифты часто выходят из строя.,отрицательный,—,долгий ремонт
В целом нормально обслуживают дом.,нейтральный,установлено видеонаблюдение,высокие тарифы
Отличная работа аварийной службы.,положительный,быстро реагируют,—
"Подъезды грязные, убирают редко.",отрицательный,—,антисанитария
Стабильно выполняют обязательства.,нейтральный,нет перебоев с водой,редкий косметический ремонт
Лучшая УК в нашем районе!,положительный,идеальный порядок,—
Не решают проблему с парковкой.,отрицательный,—,хаотичная парковка
Средний уровень обслуживания.,нейтральный,работают по графику,стандартный подход
Быстро устраняют аварии.,положительный,профессиональные мастера,—
Долго не могут починить крышу.,отрицательный,—,протечки
Нормальная работа за эти деньги.,нейтральный,адекватные тарифы,экономия на материалах
Прекрасное отношение к жильцам.,положительный,учитывают мнение,—
Не убирают детскую площадку.,отрицательный,—,опасность
Стабильная работа.,нейтральный,предсказуемые платежи,нет развития
Отличный ремонт подъездов.,положительный,качественные материалы,—
Не реагируют на шумных соседей.,отрицательный,—,бездействие
Удовлетворительное обслуживание.,нейтральный,базовые услуги,нет инициативы
Хорошие праздники для жильцов.,положительный,мероприятия,—
Не чистят дорожки зимой.,отрицательный,—,гололед
Неплохо для бюджетного жилья.,нейтральный,низкие цены,соответствующее качество
Быстро меняют лампочки.,положительный,хороший свет,—
Не следят за лифтами.,отрицательный,—,старые
Средний уровень по району.,нейтральный,как у всех,не лучше
Хорошая система оповещения.,положительный,уведомления,—
Не решают вопрос с собаками.,отрицательный,—,опасность
Приемлемое качество.,нейтральный,понятные квитанции,задержки
Красивые клумбы.,положительный,ухоженные,—
Грязные лестницы.,отрицательный,—,запах
Нормальная работа.,нейтральный,вода есть,старые трубы
Вежливые сотрудники.,положительный,помогают,—
Не убирают мусор.,отрицательный,—,отходы
Стабильно.,нейтральный,надежно,без новшеств
Хорошо работают в праздники.,положительный,дежурство,—
Не решают проблему крыс.,отрицательный,—,антисанитария
Удовлетворительно.,нейтральный,минимум,требует ремонта
Хорошие соседи.,положительный,отбор,—
Не чистят вентиляцию.,отрицательный,—,пыль
Нормально.,нейтральный,стандарты,без бонусов
Быстро на засоры.,положительный,сантехники,—
Грязные площадки.,отрицательный,—,антисанитария
Среднее качество.,нейтральный,цена/качество,нет премиум
Хорошая охрана.,положительный,безопасность,—
Не ремонтируют площадку.,отрицательный,—,сломано
Приемлемо.,нейтральный,основы,модернизация
Новый дизайн.,положительный,ремонт,—
Не убирают листья.,отрицательный,—,грязь
Стандарт.,нейтральный,предсказуемо,без сюрпризов
Хорошее видео.,положительный,безопасность,—
Не следят за крышей.,отрицательный,—,течет
Нормально.,нейтральный,ожидания,без излишеств
Хорошие документы.,положительный,порядок,—
Не реагируют на шум.,отрицательный,—,покой
Удовлетворительно.,нейтральный,основы,улучшения
Быстро на аварии.,положительный,мастера,—
Не убирают после ремонта.,отрицательный,—,отходы
Стандарт.,нейтральный,предсказуемо,без новшеств
Хороший консьерж.,положительный,безопасность,—
Не решают стройку.,отрицательный,—,шум
Нормально.,нейтральный,без сюрпризов,улучшения
Быстро на протечки.,положительный,мастера,—
Не следят за фасадом.,отрицательный,—,краска
Нормально.,нейтральный,стандарты,без изысков
Хорошие субботники.,положительный,участие,—
Не следят за лифтами.,отрицательный,—,грязь
Приемлемо.,нейтральный,цена/качество,нет премиум
Хорошие условия.,положительный,для детей,—
Не убирают снег.,отрицательный,—,сосульки
Стандарт.,нейтральный,основы,без изысков
Хорошо в праздники.,положительный,дежурство,—
Не следят.,отрицательный,—,краска
Нормально.,нейтральный,без сюрпризов,улучшения
Быстро.,положительный,мастера,—
Не убирают.,отрицательный,—,отходы
Стандарт.,нейтральный,предсказуемо,без новшеств
Хорошо.,положительный,безопасность,—
Не решают.,отрицательный,—,шум
Нормально.,нейтральный,основы,улучшения
"УК ""Новая территория"" справляется со своими обязанностями.",нейтральный,регулярная уборка подъездов,медленная реакция на заявки
Отличная работа управляющей компании!,положительный,"чистота во дворе, вежливый персонал",—
Постоянные проблемы с горячей водой.,отрицательный,—,частые отключения без предупреждения
Качественно выполняют текущий ремонт.,положительный,быстро устраняют неисправности,—
Работают на удовлетворительном уровне.,нейтральный,есть охрана территории,плохо убирают снег зимой
Прекрасная организация работы!,положительный,вежливые сотрудники,—
Лифты часто выходят из строя.,отрицательный,—,долгий ремонт
В целом нормально обслуживают дом.,нейтральный,установлено видеонаблюдение,высокие тарифы
Отличная работа аварийной службы.,положительный,быстрая реакция,—
"Подъезды грязные, убирают редко.",отрицательный,—,антисанитария
Стабильно выполняют обязательства.,нейтральный,нет перебоев с водой,редкий косметический ремонт
Лучшая УК в районе!,положительный,идеальный порядок,—
Не решают проблему с парковкой.,отрицательный,—,хаотичная парковка
Средний уровень обслуживания.,нейтральный,работают по графику,стандартный подход
Быстро устраняют аварии.,положительный,профессиональные мастера,—
Долго не могут починить крышу.,отрицательный,—,протечки
Нормальная работа за эти деньги.,нейтральный,адекватные тарифы,экономия на материалах
Прекрасное отношение к жильцам.,положительный,учитывают мнение,—
Не убирают детскую площадку.,отрицательный,—,опасность
Стабильная работа.,нейтральный,предсказуемые платежи,нет развития
Отличный ремонт подъездов.,положительный,качественные материалы,—
Не реагируют на шумных соседей.,отрицательный,—,бездействие
Удовлетворительное обслуживание.,нейтральный,базовые услуги,нет инициативы
Хорошие праздники для жильцов.,положительный,мероприятия,—
Не чистят дорожки зимой.,отрицательный,—,гололед
Неплохо для бюджетного жилья.,нейтральный,низкие цены,соответствующее качество
Быстро меняют лампочки.,положительный,хороший свет,—
Не следят за лифтами.,отрицательный,—,старые
Средний уровень по району.,нейтральный,как у всех,не лучше
Хорошая система оповещения.,положительный,уведомления,—
Не решают вопрос с собаками.,отрицательный,—,опасность
Приемлемое качество.,нейтральный,понятные квитанции,задержки
Красивые клумбы.,положительный,ухоженные,—
Грязные лестницы.,отрицательный,—,запах
Нормальная работа.,нейтральный,вода есть,старые трубы
Вежливые сотрудники.,положительный,помогают,—
Не убирают мусор.,отрицательный,—,отходы
Стабильно.,нейтральный,надежно,без новшеств
Хорошо работают в праздники.,положительный,дежурство,—
Не решают проблему крыс.,отрицательный,—,антисанитария
Удовлетворительно.,нейтральный,минимум,требует ремонта
Хорошие соседи.,положительный,отбор,—
Не чистят вентиляцию.,отрицательный,—,пыль
Нормально.,нейтральный,стандарты,без бонусов
Быстро на засоры.,положительный,сантехники,—
Грязные площадки.,отрицательный,—,антисанитария
Среднее качество.,нейтральный,цена/качество,нет премиум
Хорошая охрана.,положительный,безопасность,—
Не ремонтируют площадку.,отрицательный,—,сломано
Приемлемо.,нейтральный,основы,модернизация
Новый дизайн.,положительный,ремонт,—
Не убирают листья.,отрицательный,—,грязь
Стандарт.,нейтральный,предсказуемо,без сюрпризов
Хорошее видео.,положительный,безопасность,—
Не следят за крышей.,отрицательный,—,течет
Нормально.,нейтральный,ожидания,без излишеств
Хорошие документы.,положительный,порядок,—
Не реагируют на шум.,отрицательный,—,покой
Удовлетворительно.,нейтральный,основы,улучшения
Быстро на аварии.,положительный,мастера,—
Не убирают после ремонта.,отрицательный,—,отходы
Стандарт.,нейтральный,предсказуемо,без новшеств
Хороший консьерж.,положительный,безопасность,—
Не решают стройку.,отрицательный,—,шум
Нормально.,нейтральный,без сюрпризов,улучшения
Быстро на протечки.,положительный,мастера,—
Не следят за фасадом.,отрицательный,—,краска
Нормально.,нейтральный,стандарты,без изысков
Хорошие субботники.,положительный,участие,—
Не следят за лифтами.,отрицательный,—,грязь
Приемлемо.,нейтральный,цена/качество,нет премиум
Хорошие условия.,положительный,для детей,—
Не убирают снег.,отрицательный,—,сосульки
Стандарт.,нейтральный,основы,без изысков
Хорошо в праздники.,положительный,дежурство,—
Не следят.,отрицательный,—,краска
Нормально.,нейтральный,без сюрпризов,улучшения
Быстро.,положительный,мастера,—
Не убирают.,отрицательный,—,отходы
Стандарт.,нейтральный,предсказуемо,без новшеств
Хорошо.,положительный,безопасность,—
Не решают.,отрицательный,—,шум
Нормально.,нейтральный,основы,улучшения
"УК ""Новая территория"" работает стабильно, без серьезных нареканий.",нейтральный,регулярная уборка территории,медленно реагируют на заявки
Отличная управляющая компания! Всегда чисто и уютно.,положительный,"вежливый персонал, оперативное решение вопросов",—
Постоянные проблемы с отоплением в зимний период.,отрицательный,—,"холод в квартирах, долгий ремонт"
Быстро и качественно выполняют текущий ремонт.,положительный,профессиональные мастера,—
"Работают на среднем уровне, без особых претензий.",нейтральный,есть охрана территории,плохо убирают снег зимой
Прекрасная организация работы управляющей компании!,положительный,"чистота, порядок, вежливые сотрудники",—
Лифты постоянно выходят из строя.,отрицательный,—,"долгий ремонт, неудобства для жильцов"
В целом нормально обслуживают дом.,нейтральный,установлено видеонаблюдение,высокие тарифы
Отличная работа аварийной службы.,положительный,быстрая реакция на проблемы,—
"Подъезды часто грязные, убирают нерегулярно.",отрицательный,—,антисанитария в местах общего пользования
Стабильно выполняют свои обязательства.,нейтральный,нет перебоев с коммунальными услугами,редкий косметический ремонт
Лучшая УК в нашем районе!,положительный,идеальный порядок во дворе,—
Не решают проблему с парковкой во дворе.,отрицательный,—,хаотичная парковка мешает жильцам
Средний уровень обслуживания.,нейтральный,работают по установленному графику,стандартный подход без инициативы
Быстро устраняют аварийные ситуации.,положительный,профессиональные мастера,—
Долго не могут починить протекающую крышу.,отрицательный,—,протечки во время дождя
Нормальная работа за эти деньги.,нейтральный,адекватные тарифы,экономят на материалах
Прекрасное отношение к жильцам.,положительный,учитывают мнение и пожелания,—
Не убирают детскую площадку.,отрицательный,—,опасность для детей
Стабильная работа без сюрпризов.,нейтральный,предсказуемые платежи,нет развития и улучшений
Отличный ремонт подъездов.,положительный,качественные материалы,—
Не реагируют на жалобы о шумных соседях.,отрицательный,—,бездействие администрации
Удовлетворительное обслуживание.,нейтральный,выполняют базовые услуги,нет инициативы в улучшениях
Хорошие праздники для жильцов.,положительный,организация мероприятий,—
Не чистят дорожки от гололеда зимой.,отрицательный,—,травмоопасно для жильцов
Неплохо для бюджетного жилья.,нейтральный,низкие тарифы,соответствующее качество услуг
Быстро меняют перегоревшие лампочки.,положительный,хорошее освещение,—
Не следят за состоянием лифтов.,отрицательный,—,"старые кабины, частые поломки"
Средний уровень по району.,нейтральный,не хуже других,и не лучше
Отличная система оповещения жильцов.,положительный,SMS-уведомления,—
Не решают проблему с бродячими собаками.,отрицательный,—,опасность во дворе
Приемлемое качество услуг.,нейтральный,понятные квитанции,задержки с отчетностью
Прекрасные клумбы у дома.,положительный,ухоженные газоны,—
Грязные лестничные клетки.,отрицательный,—,неприятный запах
Нормальная работа коммунальных служб.,нейтральный,нет перебоев с водой,старые трубы
Вежливые и отзывчивые сотрудники.,положительный,помощь в решении вопросов,—
Не убирают строительный мусор.,отрицательный,—,опасные отходы во дворе
Стабильная работа без новшеств.,нейтральный,надежность,отсутствие развития
Хорошая работа в праздничные дни.,положительный,дежурство в нерабочие дни,—
Не решают проблему с крысами.,отрицательный,—,антисанитария
Удовлетворительное содержание дома.,нейтральный,базовый ремонт,требует обновления
Хорошие соседи благодаря отбору УК.,положительный,приятный контингент,—
Не чистят вентиляционные шахты.,отрицательный,—,пыль в квартирах
Нормальный сервис для такого дома.,нейтральный,соответствует стандартам,без дополнительных услуг
Быстро реагируют на засоры.,положительный,профессиональные сантехники,—
Грязные мусорные площадки.,отрицательный,—,антисанитария
Среднее качество за свои деньги.,нейтральный,баланс цены и качества,нет премиальных услуг
Отличная охрана территории.,положительный,безопасность,—
Не ремонтируют детскую площадку.,отрицательный,—,сломанные качели
Приемлемые условия проживания.,нейтральный,основные услуги,требует модернизации
Нравится новый дизайн подъездов.,положительный,современный ремонт,—
Не убирают опавшие листья.,отрицательный,—,грязь во дворе
Стандартный набор услуг.,нейтральный,предсказуемость,без сюрпризов
Хорошее видеонаблюдение.,положительный,безопасность,—
Не следят за состоянием кровли.,отрицательный,—,протечки после дождя
Нормально для такого типа жилья.,нейтральный,соответствует ожиданиям,без излишеств
Хорошая работа с документами.,положительный,четкий документооборот,—
Не реагируют на шумные вечеринки.,отрицательный,—,нарушение покоя жильцов
Удовлетворительное обслуживание.,нейтральный,основные услуги,требует улучшений
Быстро устраняют аварийные ситуации.,положительный,профессиональные мастера,—
Не убирают мусор после ремонта.,отрицательный,—,строительные отходы
Стандартный уровень услуг.,нейтральный,предсказуемость,без нововведений
Хорошая работа консьержа.,положительный,безопасность,—
Не решают проблему с шумными стройками.,отрицательный,—,нарушение тишины
Нормальное обслуживание.,нейтральный,без сюрпризов,требует улучшений
Быстро реагируют на протечки.,положительный,профессиональные мастера,—
Не следят за состоянием фасада.,отрицательный,—,облупившаяся краска
Нормально для этого района.,нейтральный,соответствует стандартам,без изысков
Хорошие субботники.,положительный,вовлечение жильцов,—
Не следят за чистотой лифтов.,отрицательный,—,грязные кабины
Приемлемо за эти деньги.,нейтральный,баланс цены и качества,нет премиальных услуг
Хорошие условия для детей.,положительный,детские площадки,—
Не убирают снег с крыш.,отрицательный,—,опасные сосульки
Стандартный сервис.,нейтральный,основные услуги,без изысков
Хорошая работа в праздничные дни.,положительный,дежурство в выходные,—
Не следят за состоянием фасада.,отрицательный,—,облупившаяся краска
Нормальное обслуживание.,нейтральный,без сюрпризов,требует улучшений
Быстро реагируют на аварии.,положительный,оперативные мастера,—
Не убирают после ремонта.,отрицательный,—,строительные отходы
Стандартный уровень.,нейтральный,предсказуемость,без новшеств
Хороший консьерж.,положительный,безопасность,—
Не решают вопрос с шумными стройками.,отрицательный,—,нарушение тишины
Нормально.,нейтральный,основы,улучшения
Быстро.,положительный,мастера,—
Не убирают.,отрицательный,—,отходы
Стандарт.,нейтральный,предсказуемо,без новшеств
Хорошо.,положительный,безопасность,—
Не решают.,отрицательный,—,шум
Нормально.,нейтральный,основы,улучшения
"УК ""Новая территория"" работает стабильно.",нейтральный,регулярная уборка территории,медленная реакция на заявки
Отличная работа управляющей компании!,положительный,"чистота, порядок, вежливый персонал",—
Постоянные проблемы с горячей водой.,отрицательный,—,частые отключения
Качественно выполняют текущий ремонт.,положительный,оперативно устраняют неисправности,—
Работают на удовлетворительном уровне.,нейтральный,есть охрана территории,плохо убирают снег
Прекрасная организация работы!,положительный,вежливые сотрудники,—
Лифты часто ломаются.,отрицательный,—,долгий ремонт
