Текст отзыва,Тональность,Плюсы,Минусы
В целом нормально обслуживают дом.,нейтральный,видеонаблюдение,высокие тарифы
Отличная работа аварийной службы.,положительный,быстрая реакция,—
Подъезды часто грязные.,отрицательный,—,антисанитария
Стабильно выполняют обязательства.,нейтральный,нет перебоев с водой,редкий ремонт
Лучшая УК в районе!,положительный,идеальный порядок,—
Не решают проблему парковки.,отрицательный,—,хаотичная парковка
Средний уровень обслуживания.,нейтральный,работают по графику,стандартный подход
Быстро устраняют аварии.,положительный,профессиональные мастера,—
Долго не могут починить крышу.,отрицательный,—,протечки
Нормальная работа за эти деньги.,нейтральный,адекватные тарифы,экономия на материалах
Прекрасное отношение к жильцам.,положительный,учитывают мнение,—
Не убирают детскую площадку.,отрицательный,—,опасность
Стабильная работа.,нейтральный,предсказуемые платежи,нет развития
Отличный ремонт подъездов.,положительный,качественные материалы,—
Не реагируют на шумных соседей.,отрицательный,—,бездействие
Удовлетворительное обслуживание.,нейтральный,базовые услуги,нет инициативы
Хорошие праздники для жильцов.,положительный,мероприятия,—
Не чистят дорожки зимой.,отрицательный,—,гололед
Неплохо для бюджетного жилья.,нейтральный,низкие цены,соответствующее качество
Быстро меняют лампочки.,положительный,хороший свет,—
Не следят за лифтами.,отрицательный,—,старые
Средний уровень по району.,нейтральный,как у всех,не лучше
Хорошая система оповещения.,положительный,уведомления,—
Не решают вопрос с собаками.,отрицательный,—,опасность
Приемлемое качество.,нейтральный,понятные квитанции,задержки
Красивые клумбы.,положительный,ухоженные,—
Грязные лестницы.,отрицательный,—,запах
Нормальная работа.,нейтральный,вода есть,старые трубы
Вежливые сотрудники.,положительный,помогают,—
Не убирают мусор.,отрицательный,—,отходы
Стабильно.,нейтральный,надежно,без новшеств
Хорошо работают в праздники.,положительный,дежурство,—
Не решают проблему крыс.,отрицательный,—,антисанитария
Удовлетворительно.,нейтральный,минимум,требует ремонта
Хорошие соседи.,положительный,отбор,—
Не чистят вентиляцию.,отрицательный,—,пыль
Нормально.,нейтральный,стандарты,без бонусов
Быстро на засоры.,положительный,сантехники,—
Грязные площадки.,отрицательный,—,антисанитария
Среднее качество.,нейтральный,цена/качество,нет премиум
Хорошая охрана.,положительный,безопасность,—
Не ремонтируют площадку.,отрицательный,—,сломано
Приемлемо.,нейтральный,основы,модернизация
Новый дизайн.,положительный,ремонт,—
Не убирают листья.,отрицательный,—,грязь
Стандарт.,нейтральный,предсказуемо,без сюрпризов
Хорошее видео.,положительный,безопасность,—
Не следят за крышей.,отрицательный,—,течет
Нормально.,нейтральный,ожидания,без излишеств
Хорошие документы.,положительный,порядок,—
Не реагируют на шум.,отрицательный,—,покой
Удовлетворительно.,нейтральный,основы,улучшения
Быстро на аварии.,положительный,мастера,—
Не убирают после ремонта.,отрицательный,—,отходы
Стандарт.,нейтральный,предсказуемо,без новшеств
Хороший консьерж.,положительный,безопасность,—
Не решают стройку.,отрицательный,—,шум
Нормально.,нейтральный,без сюрпризов,улучшения
Быстро на протечки.,положительный,мастера,—
Не следят за фасадом.,отрицательный,—,краска
Нормально.,нейтральный,стандарты,без изысков
Хорошие субботники.,положительный,участие,—
Не следят за лифтами.,отрицательный,—,грязь
Приемлемо.,нейтральный,цена/качество,нет премиум
Хорошие условия.,положительный,для детей,—
Не убирают снег.,отрицательный,—,сосульки
Стандарт.,нейтральный,основы,без изысков
Хорошо в праздники.,положительный,дежурство,—
Не следят.,отрицательный,—,краска
Нормально.,нейтральный,без сюрпризов,улучшения
Быстро.,положительный,мастера,—
Не убирают.,отрицательный,—,отходы
Стандарт.,нейтральный,предсказуемо,без новшеств
Хорошо.,положительный,безопасность,—
Не решают.,отрицательный,—,шум
Нормально.,нейтральный,основы,улучшения
"Управляющая компания ""Новая территория"" работает стабильно.",нейтральный,своевременный вывоз мусора,медленно реагируют на заявки
Отличная работа управляющей компании!,положительный,"чистота во дворе, вежливый персонал",—
Постоянные перебои с горячей водой.,отрицательный,—,частые отключения без предупреждения
Качественно выполняют текущий ремонт.,положительный,оперативно устраняют неисправности,—
Работают на удовлетворительном уровне.,нейтральный,есть охрана территории,плохо убирают снег зимой
Прекрасная организация работы!,положительный,"вежливые сотрудники, чистота",—
Лифты часто выходят из строя.,отрицательный,—,долгий ремонт
В целом нормально обслуживают дом.,нейтральный,установлено видеонаблюдение,высокие тарифы
Отличная работа аварийной службы.,положительный,быстрая реакция на проблемы,—
"Подъезды часто грязные, убирают редко.",отрицательный,—,антисанитария
Стабильно выполняют обязательства.,нейтральный,нет перебоев с коммунальными услугами,редкий косметический ремонт
Лучшая УК в нашем районе!,положительный,идеальный порядок во дворе,—
Не решают проблему с парковкой.,отрицательный,—,хаотичная парковка мешает жильцам
Средний уровень обслуживания.,нейтральный,работают по графику,стандартный подход
Быстро устраняют аварийные ситуации.,положительный,профессиональные мастера,—
Долго не могут починить протекающую крышу.,отрицательный,—,протечки во время дождя
Нормальная работа за эти деньги.,нейтральный,адекватные тарифы,экономят на материалах
Прекрасное отношение к жильцам.,положительный,учитывают мнение и пожелания,—
Не убирают детскую площадку.,отрицательный,—,опасность для детей
Стабильная работа без сюрпризов.,нейтральный,предсказуемые платежи,нет развития
Отличный ремонт подъездов.,положительный,качественные материалы,—
Не реагируют на жалобы о шумных соседях.,отрицательный,—,бездействие администрации
Удовлетворительное обслуживание.,нейтральный,выполняют базовые услуги,нет инициативы
Хорошие праздники для жильцов.,положительный,организация мероприятий,—
Не чистят дорожки от гололеда зимой.,отрицательный,—,травмоопасно
Неплохо для бюджетного жилья.,нейтральный,низкие тарифы,соответствующее качество
Быстро меняют перегоревшие лампочки.,положительный,хорошее освещение,—
Не следят за состоянием лифтов.,отрицательный,—,старые кабины
Средний уровень по району.,нейтральный,не хуже других,и не лучше
Отличная система оповещения жильцов.,положительный,SMS-уведомления,—
Не решают проблему с бродячими собаками.,отрицательный,—,опасность во дворе
Приемлемое качество услуг.,нейтральный,понятные квитанции,задержки
Прекрасные клумбы у дома.,положительный,ухоженные газоны,—
Грязные лестничные клетки.,отрицательный,—,неприятный запах
Нормальная работа коммунальных служб.,нейтральный,нет перебоев с водой,старые трубы
Вежливые и отзывчивые сотрудники.,положительный,помощь в решении вопросов,—
Не убирают строительный мусор.,отрицательный,—,опасные отходы
Стабильная работа без новшеств.,нейтральный,надежность,отсутствие развития
Хорошая работа в праздничные дни.,положительный,дежурство в нерабочие дни,—
Не решают проблему с крысами.,отрицательный,—,антисанитария
Удовлетворительное содержание дома.,нейтральный,базовый ремонт,требует обновления
Хорошие соседи благодаря отбору УК.,положительный,приятный контингент,—
Не чистят вентиляционные шахты.,отрицательный,—,пыль в квартирах
Нормальный сервис для такого дома.,нейтральный,соответствует стандартам,без бонусов
Быстро реагируют на засоры.,положительный,профессиональные сантехники,—
Грязные мусорные площадки.,отрицательный,—,антисанитария
Среднее качество за свои деньги.,нейтральный,баланс цены и качества,нет премиальных услуг
Отличная охрана территории.,положительный,безопасность,—
Не ремонтируют детскую площадку.,отрицательный,—,сломанные качели
Приемлемые условия проживания.,нейтральный,основные услуги,требует модернизации
Нравится новый дизайн подъездов.,положительный,современный ремонт,—
Не убирают опавшие листья.,отрицательный,—,грязь во дворе
Стандартный набор услуг.,нейтральный,предсказуемость,без сюрпризов
Хорошее видеонаблюдение.,положительный,безопасность,—
Не следят за состоянием кровли.,отрицательный,—,протечки
Нормально для такого типа жилья.,нейтральный,соответствует ожиданиям,без излишеств
Хорошая работа с документами.,положительный,четкий документооборот,—
Не реагируют на шумные вечеринки.,отрицательный,—,нарушение покоя
Удовлетворительное обслуживание.,нейтральный,основные услуги,требует улучшений
Быстро устраняют аварийные ситуации.,положительный,профессиональные мастера,—
Не убирают мусор после ремонта.,отрицательный,—,строительные отходы
Стандартный уровень услуг.,нейтральный,предсказуемость,без нововведений
Хорошая работа консьержа.,положительный,безопасность,—
Не решают проблему с шумными стройками.,отрицательный,—,нарушение тишины
Нормальное обслуживание.,нейтральный,без сюрпризов,требует улучшений
Быстро реагируют на протечки.,положительный,профессиональные мастера,—
Не следят за состоянием фасада.,отрицательный,—,облупившаяся краска
Нормально для этого района.,нейтральный,соответствует стандартам,без изысков
Хорошие субботники.,положительный,вовлечение жильцов,—
Не следят за чистотой лифтов.,отрицательный,—,грязные кабины
Приемлемо за эти деньги.,нейтральный,баланс цены и качества,нет премиальных услуг
Хорошие условия для детей.,положительный,детские площадки,—
Не убирают снег с крыш.,отрицательный,—,опасные сосульки
Стандартный сервис.,нейтральный,основные услуги,без изысков
Хорошая работа в праздничные дни.,положительный,дежурство в выходные,—
Не следят за состоянием фасада.,отрицательный,—,облупившаяся краска
Нормальное обслуживание.,нейтральный,без сюрпризов,требует улучшений
Быстро реагируют на аварии.,положительный,оперативные мастера,—
Не убирают после ремонта.,отрицательный,—,строительные отходы
Стандартный уровень.,нейтральный,предсказуемость,без новшеств
Хороший консьерж.,положительный,безопасность,—
Не решают вопрос с шумными стройками.,отрицательный,—,нарушение тишины
Нормально.,нейтральный,основы,улучшения
Быстро.,положительный,мастера,—
Не убирают.,отрицательный,—,отходы
Стандарт.,нейтральный,предсказуемо,без новшеств
Хорошо.,положительный,безопасность,—
Не решают.,отрицательный,—,шум
Нормально.,нейтральный,основы,улучшения
"УК ""Новая территория"" справляется со своими обязанностями.",нейтральный,регулярная уборка территории,медленная реакция на заявки
Отличная работа управляющей компании!,положительный,"чистота, порядок, вежливый персонал",—
Постоянные проблемы с горячей водой.,отрицательный,—,частые отключения
Качественно выполняют текущий ремонт.,положительный,оперативно устраняют неисправности,—
Работают на удовлетворительном уровне.,нейтральный,есть охрана территории,плохо убирают снег
Прекрасная организация работы!,положительный,вежливые сотрудники,—
Лифты часто ломаются.,отрицательный,—,долгий ремонт
В целом нормально обслуживают дом.,нейтральный,видеонаблюдение,высокие тарифы
Отличная работа аварийной службы.,положительный,быстрая реакция,—
Подъезды часто грязные.,отрицательный,—,антисанитария
Стабильно выполняют обязательства.,нейтральный,нет перебоев с водой,редкий ремонт
Лучшая УК в районе!,положительный,идеальный порядок,—
Не решают проблему парковки.,отрицательный,—,хаотичная парковка
Средний уровень обслуживания.,нейтральный,работают по графику,стандартный подход
Быстро устраняют аварии.,положительный,профессиональные мастера,—
Долго не могут починить крышу.,отрицательный,—,протечки
Нормальная работа за эти деньги.,нейтральный,адекватные тарифы,экономия на материалах
Прекрасное отношение к жильцам.,положительный,учитывают мнение,—
Не убирают детскую площадку.,отрицательный,—,опасность
Стабильная работа.,нейтральный,предсказуемые платежи,нет развития
Отличный ремонт подъездов.,положительный,качественные материалы,—
Не реагируют на шумных соседей.,отрицательный,—,бездействие
Удовлетворительное обслуживание.,нейтральный,базовые услуги,нет инициативы
Хорошие праздники для жильцов.,положительный,мероприятия,—
Не чистят дорожки зимой.,отрицательный,—,гололед
Неплохо для бюджетного жилья.,нейтральный,низкие цены,соответствующее качество
Быстро меняют лампочки.,положительный,хороший свет,—
Не следят за лифтами.,отрицательный,—,старые
Средний уровень по району.,нейтральный,как у всех,не лучше
Хорошая система оповещения.,положительный,уведомления,—
Не решают вопрос с собаками.,отрицательный,—,опасность
Приемлемое качество.,нейтральный,понятные квитанции,задержки
Красивые клумбы.,положительный,ухоженные,—
Грязные лестницы.,отрицательный,—,запах
Нормальная работа.,нейтральный,вода есть,старые трубы
Вежливые сотрудники.,положительный,помогают,—
Не убирают мусор.,отрицательный,—,отходы
Стабильно.,нейтральный,надежно,без новшеств
Хорошо работают в праздники.,положительный,дежурство,—
Не решают проблему крыс.,отрицательный,—,антисанитария
Удовлетворительно.,нейтральный,минимум,требует ремонта
Хорошие соседи.,положительный,отбор,—
Не чистят вентиляцию.,отрицательный,—,пыль
Нормально.,нейтральный,стандарты,без бонусов
Быстро на засоры.,положительный,сантехники,—
Грязные площадки.,отрицательный,—,антисанитария
Среднее качество.,нейтральный,цена/качество,нет премиум
Хорошая охрана.,положительный,безопасность,—
Не ремонтируют площадку.,отрицательный,—,сломано
Приемлемо.,нейтральный,основы,модернизация
Новый дизайн.,положительный,ремонт,—
Не убирают листья.,отрицательный,—,грязь
Стандарт.,нейтральный,предсказуемо,без сюрпризов
Хорошее видео.,положительный,безопасность,—
Не следят за крышей.,отрицательный,—,течет
Нормально.,нейтральный,ожидания,без излишеств
Хорошие документы.,положительный,порядок,—
Не реагируют на шум.,отрицательный,—,покой
Удовлетворительно.,нейтральный,основы,улучшения
Быстро на аварии.,положительный,мастера,—
Не убирают после ремонта.,отрицательный,—,отходы
Стандарт.,нейтральный,предсказуемо,без новшеств
Хороший консьерж.,положительный,безопасность,—
Не решают стройку.,отрицательный,—,шум
Нормально.,нейтральный,без сюрпризов,улучшения
Быстро на протечки.,положительный,мастера,—
Не следят за фасадом.,отрицательный,—,краска
Нормально.,нейтральный,стандарты,без изысков
Хорошие субботники.,положительный,участие,—
Не следят за лифтами.,отрицательный,—,грязь
Приемлемо.,нейтральный,цена/качество,нет премиум
Хорошие условия.,положительный,для детей,—
Не убирают снег.,отрицательный,—,сосульки
Стандарт.,нейтральный,основы,без изысков
Хорошо в праздники.,положительный,дежурство,—
Не следят.,отрицательный,—,краска
Нормально.,нейтральный,без сюрпризов,улучшения
Быстро.,положительный,мастера,—
Не убирают.,отрицательный,—,отходы
Стандарт.,нейтральный,предсказуемо,без новшеств
Хорошо.,положительный,безопасность,—
Не решают.,отрицательный,—,шум
Нормально.,нейтральный,основы,улучшения
"УК ""Новая территория"" работает стабильно, но есть куда расти.",нейтральный,регулярная уборка территории,медленно реагируют на заявки
Отличная работа управляющей компании! Всегда чисто и уютно.,положительный,"вежливый персонал, оперативное решение вопросов",—
Постоянные перебои с отоплением зимой.,отрицательный,—,"холод в квартирах, долгий ремонт"
Качественно выполняют текущий ремонт.,положительный,"профессиональные мастера, аккуратная работа",—
"Работают на среднем уровне, без особых претензий.",нейтральный,есть охрана территории,плохо убирают снег зимой
Прекрасная организация работы!,положительный,"чистота, порядок, внимательные сотрудники",—
Лифты постоянно выходят из строя.,отрицательный,—,ремонт занимает неделями
В целом нормально обслуживают дом.,нейтральный,установлено видеонаблюдение,завышенные тарифы
Отличная работа аварийной службы.,положительный,приезжают в течение часа,—
Подъезды в ужасном состоянии.,отрицательный,—,"грязь, разбитые стены"
Стабильно выполняют свои обязательства.,нейтральный,коммунальные услуги без перебоев,косметический ремонт делают редко
Лучшая УК в нашем микрорайоне!,положительный,"идеальная чистота, ухоженная территория",—
Не решают проблему с парковкой.,отрицательный,—,машины паркуются как попало
Средний уровень обслуживания.,нейтральный,работают по установленному графику,нет индивидуального подхода
Быстро устраняют аварийные ситуации.,положительный,квалифицированные специалисты,—
Крыша течет уже полгода.,отрицательный,—,вода заливает квартиры
Нормальная работа за эти деньги.,нейтральный,разумные тарифы,экономят на материалах
Прекрасное отношение к жильцам.,положительный,всегда идут навстречу,—
Детская площадка в аварийном состоянии.,отрицательный,—,опасно для детей
Стабильная работа без сюрпризов.,нейтральный,платежи без изменений,нет развития
Отличный ремонт подъездов.,положительный,использовали качественные материалы,—
Не реагируют на жалобы о шумных соседях.,отрицательный,—,администрация бездействует
Удовлетворительное обслуживание.,нейтральный,базовые услуги выполняются,нет инициативы
Замечательные праздники для жильцов.,положительный,веселые мероприятия для всех,—
Дорожки не чистят от снега.,отрицательный,—,невозможно пройти
Неплохо для бюджетного жилья.,нейтральный,низкие тарифы,качество соответствующее
Быстро меняют перегоревшие лампочки.,положительный,освещение всегда в порядке,—
Лифты старые и опасные.,отрицательный,—,могут застрять
Средний уровень по району.,нейтральный,не хуже других,и не лучше
Отличная система оповещения.,положительный,оперативные SMS-уведомления,—
Бродячие собаки во дворе.,отрицательный,—,угроза безопасности
Приемлемое качество услуг.,нейтральный,понятные квитанции,отчеты с задержкой
Красивые цветники у дома.,положительный,ухоженные клумбы,—
Лестничные клетки грязные.,отрицательный,—,неприятный запах
Нормальная работа коммунальщиков.,нейтральный,вода подается без перебоев,трубы старые
Вежливые сотрудники.,положительный,всегда готовы помочь,—
Строительный мусор не убирают.,отрицательный,—,опасные отходы
Стабильная работа.,нейтральный,все предсказуемо,ничего нового
Отличная работа в праздники.,положительный,дежурство круглосуточно,—
Крысы в подвале.,отрицательный,—,антисанитария
Удовлетворительное содержание дома.,нейтральный,базовый ремонт есть,требует обновления
Хорошие соседи.,положительный,приятный контингент,—
Вентиляцию не чистят.,отрицательный,—,пыль в квартирах
Нормальный сервис.,нейтральный,соответствует стандартам,без бонусов
Быстро устраняют засоры.,положительный,сантехники приезжают быстро,—
Мусорные площадки грязные.,отрицательный,—,антисанитария
Среднее качество за свои деньги.,нейтральный,цена соответствует качеству,без изысков
Отличная охрана.,положительный,безопасность на уровне,—
Детская площадка разваливается.,отрицательный,—,опасно играть
Приемлемые условия.,нейтральный,основные услуги есть,требует модернизации
Новый ремонт подъездов.,положительный,современные материалы,—
Листья осенью не убирают.,отрицательный,—,грязь и слякоть
Стандартный набор услуг.,нейтральный,все предсказуемо,без сюрпризов
Хорошее видеонаблюдение.,положительный,безопасность на уровне,—
Крыша протекает.,отрицательный,—,ремонт не делают
Нормально для такого жилья.,нейтральный,соответствует ожиданиям,без излишеств
Отличная работа с документами.,положительный,все четко и вовремя,—
Шумных соседей не унимают.,отрицательный,—,мешают спать
Удовлетворительно.,нейтральный,основы есть,требует улучшений
Быстро приезжают на аварии.,положительный,мастера квалифицированные,—
После ремонта мусор не убирают.,отрицательный,—,строительные отходы
Стандартный уровень.,нейтральный,все как обычно,без новшеств
Хороший консьерж.,положительный,безопасность на месте,—
Шум от стройки не прекращают.,отрицательный,—,невозможно отдыхать
Нормальное обслуживание.,нейтральный,без сюрпризов,требует улучшений
Быстро устраняют протечки.,положительный,профессионалы своего дела,—
Фасад облупился.,отрицательный,—,не красят годами
Нормально для района.,нейтральный,не хуже других,и не лучше
Отличные субботники.,положительный,все вместе убираем территорию,—
Лифты грязные.,отрицательный,—,неприятно пользоваться
Приемлемо за эти деньги.,нейтральный,цена соответствует качеству,без изысков
Хорошие условия для детей.,положительный,есть где играть,—
Сосульки не убирают.,отрицательный,—,опасно ходить
Стандартный сервис.,нейтральный,все как обычно,без изысков
Хорошо работают в праздники.,положительный,дежурство круглосуточно,—
Фасад в ужасном состоянии.,отрицательный,—,не красят годами
Нормальное обслуживание.,нейтральный,без сюрпризов,требует улучшений
Быстро реагируют на аварии.,положительный,приезжают оперативно,—
Мусор после ремонта не убирают.,отрицательный,—,опасные отходы
Стандартный уровень.,нейтральный,все предсказуемо,без новшеств
Хороший консьерж.,положительный,безопасность на месте,—
Шум от стройки мешает.,отрицательный,—,невозможно отдыхать
Нормально.,нейтральный,основы есть,требует улучшений
Быстро.,положительный,мастера приезжают быстро,—
Не убирают.,отрицательный,—,грязь повсюду
Стандарт.,нейтральный,все как обычно,без новшеств
Хорошо.,положительный,порядок на уровне,—
Не решают проблемы.,отрицательный,—,все остается как есть
Нормально.,нейтральный,основы работают,требует улучшений
